user_id	age	gender	education	career	income	address	hobby
1375	1	0	3	20	0	6	Watch the video
932	1	1	4	0	0	6	Photographic travel
144	3	1	6	1	1	7	Swipe video, read a book
2937	4	0	5	20	0	1	Singing and dancing
51	3	1	3	4	1	10	play ball
414	4	1	2	20	0	8	
2304	1	0	2	20	0	6	Listen to music
266	2	0	4	18	0	16	Music
2703	4	0	3	0	0	6	Tourism
2422	1	1	2	20	0	6	Play video games
2295	2	0	3	20	1	6	Dance
416	2	0	4	0	1	6	Fitness
1037	3	1	3	2	1	6	Football·
2709	5	0	7	0	1	6	movement
2978	5	0	4	20	0	6	Play the piano and watch the play
2356	1	0	2	20	0	6	swim
2225	1	1	4	20	0	6	Naruto
460	1	0	4	0	2	6	play the piano
1837	2	1	3	20	0	6	Swimming, games
2316	1	1	3	0	0	6	Sing
2949	1	0	4	2	0	6	Star-chasing
761	4	0	3	7	1	18	Reading
102	2	0	5	2	1	1	Read books, play video games
1811	2	1	3	20	0	23	basketball
44	3	1	3	4	1	10	Listen to music
1487	1	0	3	20	0	6	read a novel
291	4	1	4	20	1	6	Music
2467	0	1	2	20	0	6	hip-hop
2130	2	0	4	20	0	6	Music
52	4	1	4	20	0	4	Reading
506	2	1	4	0	0	6	basketball
289	3	0	4	20	0	3	Sing
174	4	1	2	7	0	16	Fight the Landlord
2688	4	0	4	2	1	6	Painting
2811	3	0	4	0	0	6	See a movie
1239	2	1	3	20	0	6	Badminton
2880	1	1	4	20	0	6	basketball
1113	3	1	4	7	1	6	Read books and play games
2551	4	1	3	0	0	6	play ball
1228	1	0	3	20	0	6	Sing
564	3	1	4	5	2	6	car
298	2	1	4	20	0	8	Reading
1326	1	0	3	20	0	6	Listen to music
678	2	1	4	0	1	6	movement
194	2	0	4	20	0	2	Sing
1188	1	1	3	20	0	6	movement
63	3	0	3	20	0	16	See a movie
765	1	1	3	20	0	16	play basketball
1736	1	1	2	20	0	6	play the guitar
393	3	1	4	4	3	6	Games
1210	1	1	3	20	0	6	play basketball
2903	5	1	3	13	1	6	Fitness
1027	0	1	0	19	0	6	Play video games
565	2	1	4	0	0	6	Football
2484	1	1	2	20	1	6	play the piano
2893	2	0	4	20	0	6	anime
2886	2	0	4	20	0	19	See a movie
1510	1	1	3	20	0	6	Entertainment
332	2	1	4	0	1	5	Reading
1614	2	0	4	8	0	3	movement
2815	5	1	3	0	0	6	Games
354	2	1	4	0	0	6	Badminton
1317	1	0	3	20	0	6	Play
650	2	1	4	0	0	6	movement
744	2	0	4	0	1	8	
2416	4	0	3	18	1	6	swim
2172	1	0	4	20	0	6	
2012	2	0	4	20	0	13	Reading
2869	2	0	4	20	0	16	See a movie
246	2	0	4	20	0	3	Sing
457	2	0	4	0	1	6	Reading
1105	2	1	3	20	0	16	Singing, playing basketball
2633	1	0	2	20	0	6	Painting
1268	1	1	3	19	0	6	Basketball, badminton
511	1	1	6	1	0	3	Sleep
2281	1	0	2	20	0	6	play the piano
2706	5	1	2	4	0	6	Tourism
693	2	1	4	0	0	6	guitar
2884	2	0	4	20	0	19	See a movie
1432	1	1	3	20	0	6	film
450	2	1	4	0	1	7	play ball
937	2	1	4	0	1	6	movement
1134	4	0	4	5	1	6	Movies, jigsaw puzzles
2159	2	0	4	20	0	6	Dance
581	4	0	3	20	2	16	Take a picture
2877	4	0	3	4	1	19	Listen to music, read
2025	1	1	7	20	0	13	Basketball singing and dancing rap
1740	2	0	2	20	2	6	Reading
331	4	0	4	3	1	6	Reading
1577	1	1	3	20	0	6	
45	4	1	4	1	3	10	Play video games
1954	3	0	4	10	2	1	Travel
211	2	1	4	18	0	7	E-sports cooking
2251	1	1	2	20	0	6	Painting
178	2	1	4	0	2	6	Painting
2720	5	0	4	0	0	6	Shopping, listening to music
1920	2	0	3	17	0	15	Photography, dance, calligraphy
93	2	0	3	1	0	3	Five pages
2438	1	0	2	20	0	4	beauty make-up
1961	2	1	4	0	0	6	Games, video
1995	1	0	4	20	0	6	Music
1543	1	0	3	20	0	6	Eat
2850	5	1	2	20	1	6	Dog
0	2	0	4	3	2	2	Play video games
152	5	0	4	20	1	7	Reading
2859	2	0	4	0	1	6	Travel
1117	2	0	4	20	0	6	host
2812	5	1	3	0	0	6	Music, games
755	2	1	4	0	0	6	Play games
1745	2	1	3	1	1	6	Sing
2092	1	1	4	20	0	23	
1146	2	1	4	20	0	6	Game archery
1405	1	0	3	20	0	6	
2097	1	0	4	20	0	6	play the piano
1005	3	0	4	1	1	6	See a movie
1525	1	1	3	20	0	6	Fitness basketball music
1376	1	0	3	20	0	6	night run
1651	2	0	3	0	0	6	Painting
2872	2	0	4	20	0	27	movement
679	2	0	4	0	1	6	piano
2883	1	0	3	20	0	13	Listen to songs and read books
527	2	1	3	0	1	6	Learning
2545	1	0	3	5	1	6	Sing
2534	1	0	2	20	0	6	swim
2232	1	1	4	0	2	6	Badminton
14	3	1	4	10	2	8	play ball
2451	3	1	3	20	0	12	Games, music, movies
2548	5	0	3	0	0	6	Delicious food
2374	1	1	2	20	0	5	Play video games
2401	1	1	7	20	0	1	play basketball
2347	1	1	2	20	0	6	play basketball
2340	1	0	2	20	0	6	Listen to music
2759	6	0	4	0	0	6	Tourism
2408	1	1	7	20	0	1	Play games
2809	5	0	3	0	0	6	Delicious food
1264	1	1	3	19	0	6	Badminton
1948	4	0	5	10	1	6	Music, movies, TV shows, novels
2776	4	0	4	0	0	6	Delicious food
368	2	1	4	0	0	6	basketball
544	2	0	4	5	0	6	Food, travel
2161	1	0	4	20	1	6	Sleep
1034	2	0	4	1	4	6	Painting
2115	1	1	4	0	1	6	play the piano
2469	1	1	2	20	0	6	play football
798	2	1	4	0	0	6	play basketball
1846	1	1	3	20	0	23	Reading
2828	2	1	3	20	0	5	Badminton
1190	1	0	3	20	0	6	Badminton
2488	1	1	7	5	0	6	play basketball
554	2	1	4	0	2	7	basketball
555	3	1	1	0	0	6	Game animation funny science fiction
1407	1	0	3	20	0	6	Singing, dancing, reading
2573	1	1	3	20	0	6	anime
1960	0	0	2	20	0	6	
621	2	1	4	0	0	6	calligraphy
2931	1	0	4	20	0	6	Sleep
2499	1	1	7	20	0	6	Billiards
2988	7	0	3	2	0	6	Sports, music, travel, etc
1716	1	0	3	20	0	6	Photography
67	3	1	2	20	0	9	Play video games
1023	2	0	3	9	0	6	house
727	1	1	3	20	0	6	play basketball
2628	1	1	3	20	0	6	anime
2927	2	0	4	20	0	6	Sing
1925	1	1	3	0	1	6	movement
1793	1	1	3	0	0	6	Listen to music
1226	1	1	3	20	0	6	Sports
2589	4	0	4	0	0	6	Badminton, swimming
911	5	0	3	20	0	6	Play video games
1593	1	1	3	19	0	5	play basketball
1788	1	1	3	20	0	16	play basketball
521	2	1	4	0	1	6	
1741	1	1	2	20	0	6	play basketball
2953	4	0	3	5	0	16	Tourism
343	6	0	5	20	1	6	
2753	4	0	2	0	0	6	Music
196	3	0	3	20	0	3	Sleep
124	2	0	4	9	1	12	Photography
184	2	0	4	0	1	6	Sing
1912	2	0	4	20	0	6	Sing
2018	2	0	2	20	0	28	Listen to music
1729	2	1	3	20	2	6	rap
1211	1	1	3	20	0	6	cooking
1425	1	1	2	20	1	6	Games, novels
408	6	1	4	4	2	6	Watch TV
2411	1	1	7	20	0	1	play basketball
1461	1	1	3	20	0	6	Listen to music
2751	5	0	3	20	0	6	Tourism
254	2	0	4	20	0	6	Listen to music
1681	1	1	7	5	0	6	play basketball
2087	1	1	4	0	1	6	Listen to music
192	1	0	2	20	0	7	Sing
1983	1	0	4	20	0	6	Play
557	2	0	4	4	0	6	Taekwondo
2114	1	1	4	0	0	6	Playing badminton, collecting dolls
789	2	1	4	5	1	6	Tourism
840	2	1	4	0	0	6	Volleyball
1915	2	0	4	7	1	7	beauty make-up
2686	4	0	4	20	0	6	Sing
495	2	0	4	17	0	7	basketball
1128	6	0	4	0	1	6	Movies, books
1706	2	0	4	0	1	2	Painting
203	2	1	3	0	0	16	Games
651	2	1	4	0	0	6	cook
819	2	1	4	20	0	4	Music
80	2	0	3	20	1	15	See a movie
32	3	1	3	4	1	15	play table tennis
1344	1	1	3	20	0	6	basketball
436	3	0	4	0	0	6	Korean Drama Funny Knowledge
251	5	0	3	3	0	28	Eat. Eat
718	3	1	4	2	0	6	Reading
746	2	1	3	20	1	6	Sing
256	2	0	4	20	0	6	Listen to music
976	3	1	4	0	1	6	play chess
2727	4	0	3	0	0	6	Take a walk
1988	2	0	4	0	1	6	Dance
139	3	1	3	0	1	27	swim
1018	5	1	4	14	1	6	Listen to music
1725	2	1	4	0	1	7	Sing
88	1	0	4	11	1	5	Pets
2744	2	0	3	2	0	6	Delicious food
1849	1	0	3	20	0	23	Photography
296	2	0	3	20	0	3	Play
1940	1	0	7	20	0	6	Painting
486	1	1	3	4	1	6	flower
844	2	1	4	20	0	4	Painting
599	2	1	4	0	1	6	Sing
2599	4	0	4	0	0	6	Small animals
2508	2	1	2	20	0	6	Reading
2465	1	1	7	20	0	6	Billiards
2407	1	1	2	20	1	6	guitar
812	2	1	3	18	0	6	Fitness
2426	1	0	2	5	0	6	Sing
1099	3	1	4	0	1	28	game sport   Anime Shake Party
141	2	1	3	0	0	27	Play video games
1902	2	1	3	20	0	6	Listen to music, watch movies
270	5	1	2	7	0	15	cook
2279	1	1	7	20	0	6	play basketball
2564	4	0	4	0	0	6	Sing
1606	2	0	3	20	0	6	Play video games
1089	2	0	4	3	0	25	Reading, outdoor
1295	1	1	3	20	0	6	play basketball
175	4	0	3	10	0	7	Reading
1017	4	1	4	10	1	6	Photography, driving
736	2	0	3	20	0	6	Sing
1957	1	1	4	20	0	23	Reading
471	2	0	4	2	0	4	ski
1927	1	1	3	20	0	6	Play basketball, play games, listen to songs
912	4	1	4	19	2	6	Play video games
1356	1	0	3	20	0	6	Music
1835	1	1	3	19	4	6	Sleep
2015	2	0	4	20	0	6	See a movie
705	3	0	4	1	0	7	Swimming, reading, traveling
1222	1	1	3	20	0	6	play basketball
411	2	0	4	0	1	7	play ball
322	4	0	4	3	1	6	Reading
177	3	1	4	0	2	5	Sing
1091	2	0	3	20	0	16	Painting
598	2	0	4	4	0	6	Dance
1967	1	0	2	20	0	6	Watch Short Video kpop vlog movie tv series
2373	1	0	2	20	0	6	play the piano
1467	1	0	3	20	0	6	art lecture
676	1	1	4	0	1	6	movement
535	2	1	4	0	0	6	Sing
794	2	0	4	0	1	6	movement
2887	2	1	4	19	1	5	ebook
2547	5	0	4	0	0	6	Fine arts
528	2	1	4	0	0	6	movement
1924	2	1	3	19	0	6	play basketball
463	2	1	4	0	1	6	Badminton
2664	1	0	3	20	0	6	Badminton
2900	3	0	4	11	0	4	Watch TV
2787	1	0	3	16	1	6	Cycling
162	6	1	2	18	0	14	Sing
2183	1	0	4	20	4	6	
958	2	1	4	0	0	6	Sing
1565	1	0	3	20	0	6	Reading
838	2	1	3	20	0	6	Computer games
2126	2	1	4	0	0	6	
2288	1	0	2	20	0	3	Sing
30	3	0	4	10	1	16	Reading, listening to music, watching movies
1985	1	0	4	20	0	6	
2844	4	1	5	0	3	9	coding
1727	1	1	2	20	0	4	Volleyball
2353	3	0	4	10	0	6	Fitness
1149	4	0	4	3	1	2	calligraphy
1488	1	1	3	20	0	6	Badminton skateboard
2593	3	0	3	0	1	6	Hey, dog
864	2	1	4	0	0	6	movement
2669	2	1	3	20	0	6	basketball
767	2	1	3	20	0	6	basketball
2104	1	1	4	20	0	6	play basketball
479	2	0	4	1	1	6	Guzheng
998	2	0	4	20	0	8	DANCE
1544	1	0	3	20	0	6	
73	4	1	2	2	2	5	Running
1178	1	1	3	20	0	22	
2238	3	1	3	7	1	3	Play video games
1601	1	1	3	0	0	6	Badminton
1807	1	1	3	4	2	23	Reading
979	3	1	1	1	0	17	Games
1229	1	1	3	20	0	6	play badminton
324	2	0	3	3	0	7	Sing
2539	1	1	2	20	0	6	swiping video
1655	2	0	6	1	1	3	design
2233	2	1	4	20	0	6	Play table tennis
2843	2	1	4	2	1	6	basketball
2818	5	0	4	0	0	6	Fitness
2050	1	0	4	0	0	6	Cooking, singing, watching TV
1684	2	0	4	1	0	8	anime
1173	1	1	3	20	0	6	basketball
1620	1	1	2	20	0	7	Sing
1032	3	1	5	20	1	6	
601	2	1	4	0	0	6	Football
2236	4	1	3	7	1	3	chatter
1444	1	0	3	20	0	6	Painting
321	5	1	4	5	2	6	play basketball
2334	1	1	3	20	0	6	anime
239	4	0	3	20	0	3	Reading
1412	2	0	3	20	0	6	piano
1102	1	1	3	20	0	15	basketball
1094	2	0	4	10	0	16	Painting
759	1	0	4	10	0	14	play badminton
1124	1	1	2	20	0	6	play basketball
443	2	1	4	0	1	25	
2813	5	1	3	20	0	6	Sports
2179	2	1	4	0	0	6	Painting
532	3	0	3	17	0	6	Food, drama
1583	1	1	3	20	0	6	Billiards
1978	1	0	4	20	0	6	
1880	1	1	3	19	0	6	sing and dance rap
1507	1	0	3	20	0	6	
889	2	1	4	20	0	6	movement
2420	2	0	3	1	0	21	basketball
605	2	1	4	1	1	6	hip-hop
1818	1	1	3	10	0	6	furry
1783	1	0	3	17	0	6	Listen to music
572	2	1	4	0	0	6	Reading
2016	2	0	4	20	0	6	read a novel
867	2	1	4	0	1	6	
691	2	0	4	2	0	6	Badminton
402	2	1	4	0	0	6	basketball
439	2	1	4	0	0	6	Football
2470	1	1	7	20	0	6	Badminton
108	8	1	0	18	1	9	Reading, listening to plays, swimming
1872	1	1	3	0	0	6	Football
2067	1	1	4	20	0	6	Playing basketball, singing, guitar
318	3	1	4	4	4	1	Photography
1071	2	1	3	0	1	10	Games, music
670	2	0	4	2	0	6	Comics
1610	2	0	4	1	1	4	design
940	2	1	3	5	0	6	flower
2346	1	1	2	20	0	6	wear and tie
2924	2	1	4	4	0	6	computer
1877	1	1	3	20	0	6	Listen to music
2148	2	0	4	20	0	6	movement
879	2	1	4	0	0	6	Football
2637	1	1	7	20	0	6	play basketball
2502	2	1	3	20	0	6	boating
2474	1	1	3	20	0	6	anime
433	4	0	2	0	2	8	Extreme sports
1270	2	1	3	20	0	6	Games
423	3	1	3	20	0	6	swim
2543	2	1	3	20	0	6	Sleep
2749	5	0	3	0	0	6	DANCE
1771	1	0	3	20	0	6	
70	4	0	4	15	0	4	Reading
729	3	0	4	0	0	2	play basketball
2782	2	0	3	20	0	29	Painting
2561	1	1	2	20	0	6	Billiards
56	2	0	3	1	2	4	Dance
2835	1	0	3	20	0	6	Listen to music
2954	2	0	4	20	0	18	Painting, food, stories
1456	1	1	3	20	0	6	Play games, play basketball
1073	3	0	4	5	0	8	Reading
642	3	1	3	20	0	6	swim
309	5	1	4	5	2	6	Sing
1723	3	0	4	2	2	3	Sing
1213	1	1	3	20	0	6	basketball
2275	1	1	3	20	0	6	Comics
2642	1	1	2	20	0	6	Basketball game
1174	1	1	3	20	0	6	basketball
1808	1	0	3	20	0	25	Sing
1777	2	1	3	20	0	6	Basketball, boxing
1553	1	0	3	20	0	16	Reading
432	5	1	4	1	2	6	swim
2093	1	1	4	0	0	31	Badminton
2702	3	0	3	0	0	6	Dance
567	1	0	4	0	1	6	Billiards
1702	1	0	2	20	0	6	Sing
1797	1	0	3	20	0	6	Tourism
1886	1	1	3	20	0	6	Play video games
2822	2	0	4	20	0	5	Music, Dance, Comics, Blackpink
2166	2	1	4	10	0	6	
1763	1	1	2	20	1	6	basketball
2624	1	1	2	20	0	6	Billiards
1602	1	1	3	20	4	6	play basketball
120	1	1	3	20	0	8	guitar
1135	2	1	3	20	0	10	mountain climbing
874	2	1	4	2	1	6	basketball
1547	1	0	3	20	0	6	Reading
2714	3	0	3	0	0	6	Reading
313	2	0	4	20	1	7	Sing
2064	1	0	4	20	0	5	Anime, games
233	4	0	4	20	0	3	Play
2023	2	0	4	20	0	6	Badminton
2721	3	0	4	0	0	6	Music, sports
1743	1	1	2	20	1	6	basketball
111	2	0	2	18	0	4	Tourism
1127	5	0	3	5	0	6	Short Video
410	1	0	4	5	0	6	Reading
218	4	0	5	10	0	6	Delicious food
1795	1	1	3	20	0	6	A lot
478	3	1	4	0	1	6	basketball
2684	5	0	4	0	0	6	Watch TV, go shopping
1080	4	1	4	0	1	4	Games
2434	1	0	5	2	1	4	Listen to music
1582	1	0	3	20	0	6	
485	2	1	4	0	1	6	boating
2674	4	0	3	5	0	6	Sing
507	2	1	4	0	0	6	Play video games
772	1	1	4	0	1	6	Running
387	4	0	4	2	3	3	Painting
787	2	1	4	0	0	6	hip-hop
543	2	0	3	13	0	6	Food, travel
2958	3	1	4	10	1	6	Mountain climbing, biking, piano
1048	3	1	6	5	3	1	swim
1269	2	1	3	20	0	6	Music
1292	1	0	3	13	0	6	Sing
2019	2	1	4	0	0	6	Play chess, listen to music
1883	1	0	3	20	0	6	Sing
135	4	0	4	11	1	16	Sing
1220	1	1	3	20	0	6	Quyi
2164	2	1	4	13	0	6	play badminton
2808	3	1	2	0	0	6	novel
2934	2	0	4	20	0	8	Eat and drink
366	2	1	4	5	1	6	Running
881	3	0	4	0	2	8	basketball
2697	5	0	4	0	1	6	Delicious food
29	2	1	4	0	2	3	swim
2498	1	0	2	20	0	6	Sing
2944	2	0	4	4	0	6	Reading
1100	2	0	4	11	0	6	Movies, music
1078	5	1	4	3	1	10	paddling
1417	2	1	3	20	0	6	Football
2852	3	0	4	19	1	19	Read. Foreign languages
183	2	1	5	0	3	3	Games
831	3	1	4	0	2	3	Sing
188	2	1	5	0	2	7	Games
420	2	1	4	0	0	6	basketball
170	4	1	2	1	2	7	Reading
2043	1	1	4	0	0	6	Learning
43	2	1	4	2	3	5	E-sports
87	2	1	2	20	0	12	Female
1410	1	0	3	20	0	6	Sing
700	2	1	4	0	1	5	swim
897	2	1	4	0	2	6	Painting
282	5	0	2	20	0	8	Play video games
644	4	0	3	1	1	6	locomotive
2325	1	1	2	20	0	6	Working
1159	1	1	3	0	0	6	
257	1	1	4	16	1	16	Play video games
2591	4	0	3	0	0	6	Travel
1351	1	0	3	20	0	6	Dancing, running, listening to music
930	3	0	4	20	3	6	Skin care
2563	5	0	3	0	1	6	movement
1053	3	0	4	10	0	8	Singing and dancing
2761	4	0	3	20	0	6	Watch TV series
149	4	1	2	19	1	3	Playing cards and drinking
2514	1	1	2	20	0	6	Watch the video
2355	1	1	7	20	0	6	Play games
2389	1	1	2	20	0	4	write with a brush
1850	1	0	3	20	0	3	Reading
2110	1	0	4	0	0	4	Listen to music
1860	1	0	3	20	0	15	
134	3	0	4	3	1	7	Tourism
1437	1	1	3	14	0	16	sports reading
533	2	1	4	0	0	6	movement
847	1	0	3	20	0	6	Dance
2245	1	0	2	20	0	6	play the piano
2525	1	0	7	20	0	2	Dance
1370	1	0	3	20	0	6	
2112	1	0	4	20	0	6	Reading, listening to music, jogging
1364	1	0	3	20	0	6	Learning
2228	1	0	4	0	0	6	Sing
430	2	0	4	1	2	7	Dance
2188	1	0	4	20	0	6	Star-chasing
1739	1	1	4	20	0	6	Play video games
942	3	1	4	0	2	4	rap
2098	1	0	4	20	0	6	Singing, dancing, erhu
221	2	1	4	20	0	6	
1910	5	1	4	1	2	1	play ball
1896	1	1	3	20	0	6	Sing
1952	2	0	4	7	1	6	beauty make-up
839	2	0	4	20	0	6	read a novel
926	2	0	4	0	1	6	Reading
2138	2	1	4	0	0	6	Novels, travel
173	6	1	4	20	1	5	mountain climbing
1207	1	0	3	20	0	6	Take a walk
2329	1	1	3	20	0	6	boating
807	1	0	2	20	0	3	Dance, swipe video
610	3	1	3	0	2	8	basketball
2795	4	0	3	0	0	6	Sleep
1922	1	0	3	20	0	6	Painting
756	2	1	4	0	0	6	Tourism
1373	1	1	3	20	0	6	Playing basketball, running
969	4	1	3	20	2	6	Billiards
472	2	1	4	0	1	6	movement
1498	1	1	3	0	0	6	Music, novels, games
2222	2	1	4	20	0	6	Games
1114	2	0	3	20	0	24	Dramas, games, novels, travel
314	2	1	3	20	0	6	movement
869	2	1	4	0	2	6	Dance
602	3	0	3	2	1	3	Painting
1607	2	0	3	20	0	6	Singing, playing with the Rubik's Cube
272	6	1	4	18	1	1	Reading
2313	1	0	2	20	0	6	Play video games
1340	1	1	3	20	0	6	basketball
1055	3	0	5	6	4	1	ski
945	2	1	4	0	0	6	swim
929	2	1	3	0	0	6	Painting
2854	4	0	3	10	0	16	Travel, drama, reading
2312	1	1	7	20	0	6	play basketball
1260	1	1	3	20	0	6	Sing
