user_id	video_id	like	reason_tag	rating	review	video_tag	interest_tag	watch_again
2071	31	0	[2236, 3784, 4559]	5.0	I producers are not easy, must continue to encourage, let them continue to work hard, continue to cheer.	[627, 3784, 1128, 3283]	[3722, 1128, 4559, 3283]	0
2071	4092	0	[638, 4292, 3687]	1.0	Don't like this kind of video, don't want to see bold dance.	[4292, 2016, 638, 4681]	[2013, 638, 2017]	0
2071	1008	0	[560, 427, 2000]	5.0	Do not like this kind of video, do not recommend the settings video, you are to change it.	[427, 1128, 3687]	[1308, 886, 2000, 560, 2262]	0
2071	1097	1	[5927, 5548, 6066, 252]	5.0	Well, the spirit of reporting can be most people trying to keep them going.	[4730, 5927, 5009]	[2362, 4730, 5009]	0
2071	3906	1	[5080, 6063, 2236]	5.0	The dance is beautiful, the scenery is beautiful, give the author more trust.	[4486, 3389]	[5008, 6063, 1961]	0
2071	3319	1	[5767, 3916, 1306]	5.0	It's very creative, very likeable. Let him keep trying.	[513, 2703, 1074]	[5237, 513, 1306]	0
2071	4167	1	[5081, 315, 2088]	5.0	It's fun. Encourage him, keep him going.	[2088, 4782, 397]	[5082, 5081]	0
2071	1044	1	[2764, 2317, 1528]	5.0	Sing very well very characteristic to give encouragement, hope to continue to work hard next time.	[4396, 2764, 1528]	[4396, 361, 1028]	0
2071	1913	1	[5774, 2342]	5.0	Continue to work hard to develop agriculture and let everyone know about your work.	[4187, 5311, 2342]	[2342, 5774, 2623]	0
2071	387	1	[1528, 5189, 5067]	5.0	It's very representative, very personal, very powerful.	[1529, 3672, 4221]	[4386, 5189, 3672]	0
2071	320	1	[3019, 3807]	5.0	It is very action-oriented, representative, and very sci-fi, which is deeply loved by the people.	[789, 4742, 3361]	[4742, 3069, 789]	0
2071	3828	1	[1264, 3902, 268]	5.0	It's interesting and likeable. Give the author some encouragement to keep trying next time.	[3902, 268, 825]	[3902, 4052, 825]	0
2071	2112	1	[5953, 287, 3835]	5.0	It's perfect. It's a big deal. Give them a little encouragement	[3835, 5074, 5953]	[3835, 5953, 5074]	0
2071	1089	1	[3135, 2861, 3687]	5.0	I love funny videos. Give the producers a little encouragement, get them to take it to the next level.	[5927, 3687, 2236, 2861]	[4027, 3135, 4748, 5927]	0
2071	1772	0	[2494, 5206, 598]	1.0	Don't like this kind of video, don't want to watch introverts. It's not interesting.	[57, 5206, 2494]	[57, 1203, 3060]	0
2071	1639	1	[3140, 2, 849]	5.0	Dance very beautiful, music sounds, to give them the direction of efforts!	[849, 4055, 3140]	[4055, 1203, 4340, 3140]	0
2071	22	1	[5691, 1, 2]	5.0	Like the game, like the commentary, like their laughing.	[5691, 640, 5953]	[4994, 5953, 5691]	0
2071	111	1	[2, 3, 3856, 2586]	5.0	I especially like music, and he sings very melodiously, I am so interested in course to give points better	[1528, 4130, 3856]	[2262, 2586, 4130]	0
2965	486	0	[5, 6, 1730]	1.0	I haven't played any steam-related games, and I don't like real-life fighting games	[5, 5074, 3796]	[5091, 5074, 5927]	0
2965	3299	1	[5, 2451, 195]	4.0	I like Lang Lang playing the piano. The sound of the piano is wonderful and pleasant	[5, 4386, 2451, 195]	[1528, 195, 2451]	0
2965	3559	0	[5, 6, 1, 2585]	2.0	Although the picture is burning, but have not seen this cartoon, which do not understand the plot	[5, 3473, 1203]	[3140, 3473, 1203]	0
2965	1510	1	[5, 4362, 447]	3.0	The comparison looks monotonous, but pure hand-made sugar is a very decompression thing, also like pure hand-made things	[5, 4362, 5331]	[447, 5745, 4362]	0
2965	2511	0	[5, 2525, 0]	2.0	Music is more bold and unconstrained, music editing and synthesis do not understand, nor interested	[5, 1683, 1300]	[1528, 1683, 1413]	1
2965	4089	1	[5, 2033, 2729]	4.0	I like cute pets. It's more decompression to watch dogs sell cute, which can make people feel happy.	[5, 902, 2729, 2033]	[5, 1918, 2033, 2729]	0
2965	2804	0	[5, 4244, 6]	1.0	I don't like Beijing Opera and Huangmei Opera, and I have no interest in opera. I don't have the habit of listening to opera at ordinary times	[5, 6, 4244]	[1528, 2176, 811]	1
2965	2775	0	[5, 6, 2294]	2.0	Although the music is more exciting, but do not like the military, do not like war	[5, 1164, 5511]	[1528, 5672]	1
2965	4356	1	[5, 5745, 3931]	3.0	Although a bit cruel to sturgeon, but personally like food, food has a special liking	[5, 5745, 2347]	[5745, 3931, 2472]	0
2965	1959	0	[4969, 5185, 3879]	1.0	I don't like game ads, and I don't like games with celebrity endorsements. It's basically not fun	[4945, 5185, 837]	[6, 2236, 3687]	1
